step,time,voltage,recovery,target_voltage,target_recovery,control_current,action,reward,distance,inside_success_region
0,0.0,-0.5696410213352003,-0.704132944589727,-1.199739933013916,-0.624674916267395,0.0,2,0.0,0.9853331673390657,False
1,0.2,-0.5287624548523273,-0.6927839433412303,-1.199739933013916,-0.624674916267395,0.0,2,-1.3603282939546002,1.0433098704122927,False
2,0.4,-0.4840437034350352,-0.680899906572209,-1.199739933013916,-0.624674916267395,0.0,2,-1.6781145327933542,1.1081375029574951,False
3,0.6000000000000001,-0.4345524823628021,-0.6684194352415894,-1.199739933013916,-0.624674916267395,0.0,2,-2.0554338751875405,1.1812182778105305,False
4,0.8,-0.379121309690511,-0.6552652933894735,-1.199739933013916,-0.624674916267395,0.0,2,-2.5097740186993356,1.2643190148732124,False
5,1.0,-0.4904693923191461,-0.6426897390647994,-1.199739933013916,-0.624674916267395,-0.800000011920929,0,-1.6606303418817363,1.0919195558646482,False
6,1.2000000000000002,-0.45027993439488706,-0.6308696180935247,-1.199739933013916,-0.624674916267395,0.0,2,-1.9249104909803711,1.1530975566395776,False
7,1.4000000000000001,-0.5786585161886476,-0.6198706108375746,-1.199739933013916,-0.624674916267395,-0.800000011920929,0,-1.0486778416252496,0.9555695147619188,False
8,1.6,-0.5570487018211883,-0.6098868296428807,-1.199739933013916,-0.624674916267395,0.0,2,-1.1515593675433466,0.9893016993165393,False
9,1.8,-0.5344073422852134,-0.5996785289082197,-1.199739933013916,-0.624674916267395,0.0,2,-1.3071738430242457,1.0250947039920106,False
10,2.0,-0.5105082519150536,-0.5892304171424025,-1.199739933013916,-0.624674916267395,0.0,2,-1.4779254891944327,1.0632778452946867,False
11,2.2,-0.656666820232996,-0.5798600461919569,-1.199739933013916,-0.624674916267395,-0.800000011920929,0,-0.5826643989864567,0.8414114853548395,False
12,2.4000000000000004,-0.6537839062720558,-0.5717715530717381,-1.199739933013916,-0.624674916267395,0.0,2,-0.5617447174624294,0.8481199304820878,False
13,2.6,-0.6522587347245222,-0.5637507297346884,-1.199739933013916,-0.624674916267395,0.0,2,-0.5735845086860483,0.8530903717749444,False
14,2.8000000000000003,-0.6522389846286928,-0.5558194585166593,-1.199739933013916,-0.624674916267395,0.0,2,-0.57725525222186,0.8560942809559999,False
15,3.0,-0.6538863672454598,-0.5480018036827885,-1.199739933013916,-0.624674916267395,0.0,2,-0.5718091250023719,0.8568853591641878,False
16,3.2,-0.6573757466377614,-0.5403242008314876,-1.199739933013916,-0.624674916267395,0.0,2,-0.5563102488171586,0.855201803000185,False
17,3.4000000000000004,-0.6628933043550027,-0.5328156226863439,-1.199739933013916,-0.624674916267395,0.0,2,-0.5298776389495489,0.8507703205336951,False
18,3.6,-0.6706334233889827,-0.5255077038666177,-1.199739933013916,-0.624674916267395,0.0,2,-0.4917416135060765,0.843312479956695,False
19,3.8000000000000003,-0.6807939147103195,-0.5184348018564087,-1.199739933013916,-0.624674916267395,0.0,2,-0.44131472664137855,0.8325540801165242,False
20,4.0,-0.693569177267818,-0.511633965397081,-1.199739933013916,-0.624674916267395,0.0,2,-0.378276922100302,0.8182383167229178,False
21,4.2,-0.7091408916351489,-0.5051447753893268,-1.199739933013916,-0.624674916267395,0.0,2,-0.3026723358612344,0.800143547558175,False
22,4.4,-0.7276659307260428,-0.49900901801851294,-1.199739933013916,-0.624674916267395,0.0,2,-0.21501183131871204,0.7781063848626713,False
23,4.6000000000000005,-0.7492613697423789,-0.49327014669614205,-1.199739933013916,-0.624674916267395,0.0,2,-0.11637092972136784,0.7520505950869052,False
24,4.800000000000001,-0.7739868372825499,-0.48797249071307436,-1.199739933013916,-0.624674916267395,0.0,2,-0.008467675215423284,0.7220217809806668,False
25,5.0,-0.8018250058652848,-0.48316017704046393,-1.199739933013916,-0.624674916267395,0.0,2,0.10629987880064903,0.6882269655883088,False
26,5.2,-0.8326617730614526,-0.4788757505945953,-1.199739933013916,-0.624674916267395,0.0,2,0.22487970932842966,0.6510769011030787,False
27,5.4,-0.8662685621238445,-0.47515851004564896,-1.199739933013916,-0.624674916267395,0.0,2,0.3436769032062368,0.6112270977073895,False
28,5.6000000000000005,-0.9022899926199793,-0.4720426214399206,-1.199739933013916,-0.624674916267395,0.0,2,0.45876261909894533,0.5696110783912759,False
29,5.800000000000001,-0.9402406340191833,-0.4695551271935412,-1.199739933013916,-0.624674916267395,0.0,2,0.5661766399504213,0.5274559440935609,False
30,6.0,-0.9795142801751632,-0.4677140245837073,-1.199739933013916,-0.624674916267395,0.0,2,0.6622950919079906,0.48626551929415,False
31,6.2,-1.019407852983732,-0.4665266312345995,-1.199739933013916,-0.624674916267395,0.0,2,0.7442095007541356,0.4477500710417201,False
32,6.4,-1.0591596124052463,-0.46598846779259856,-1.199739933013916,-0.624674916267395,0.0,2,0.8100461976703267,0.4136767563378145,False
33,6.6000000000000005,-1.0979982287105476,-0.4660828554879126,-1.199739933013916,-0.624674916267395,0.0,2,0.8591560968596212,0.38562280145779176,False
34,6.800000000000001,-1.1351963414361588,-0.46678134468900323,-1.199739933013916,-0.624674916267395,0.0,2,0.8921287775388343,0.36465469565618003,False
35,7.0,-1.1701205603098281,-0.4680449721046014,-1.199739933013916,-0.624674916267395,0.0,2,0.9106265503082299,0.3510367287124633,False
